"region","bioregion","cl","classification"
"Gulf","SGSL",1,"Magdalen Shallows"
"Gulf","SGSL",2,"Inshore/Magdalen Is."
"Gulf","SGSL",3,"Laurentian Channel"
"Gulf","SGSL",4,"Northumberland Strait/St. George's Bay"
"Maritimes","MAR",1,"WSS/Outer BoF"
"Maritimes","MAR",2,"WSS: Banks/Inner BoF"
"Maritimes","MAR",3,"ESS: Banks"
"Maritimes","MAR",4,"ESS"
"Maritimes","MAR",5,"Laurentian Channel/Shelf Break"
"Maritimes","MAR",6,"Slope"
"NL","NL",1,"Inner Shelf"
"NL","NL",2,"Outer Shelf"
"NL","NL",3,"Grand Banks"
"NL","NL",4,"Slope"
"NL","NL",5,"Laurentian Channel/Shelf Break"
"QC","NGSL",1,"Deep Channels"
"QC","NGSL",2,"Channel Heads & Slopes"
"QC","NGSL",3,"Shallow Banks & Straits"
